name,categories,address,lat,lng,price,likes,photos,tips,rating,cuisine_similarity,budget_match,rating_match,like_probability
Falafel Gassim Road,falafel restaurant,المملكة العربية السعودية,24.7961011,46.6427434,Cheap,0.0,0,0,,0.0,1,0,0.5449488073458703
هامبرغيني Hamburgini,burger joint,"Al-Malqa (King Fahad St.), الرياض, المملكة العربية السعودية",24.800776305971542,46.6470926831005,Cheap,6.0,2,0,,0.0,1,0,0.5449488073458703
بوفية الصحافة,afghan restaurant,"الرياض, المملكة العربية السعودية",24.802458,46.642279,Moderate,2.0,2,2,,0.0,0,0,0.16572613385048973
workkong,burmese restaurant,المملكة العربية السعودية,24.79627314525573,46.64117810439546,Unknown,0.0,0,0,,0.0,0,0,0.16572613385048973
قهوة عبدالملك,coffee shop,"الرياض 13315, المملكة العربية السعودية",24.793766,46.645282,Cheap,0.0,0,0,,1.0,1,0,0.9003158999383325
ملحمة اجواء الشام,steakhouse,"أسواق خضار المزارع, الرياض, المملكة العربية السعودية",24.80130338548261,46.6427238389774,Very Expensive,1.0,0,0,,0.0,0,0,0.16572613385048973
Al-Kanafany (الكنفاني),dessert shop,المملكة العربية السعودية,24.79776474670489,46.64195176698826,Cheap,15.0,15,11,6.8,0.31805456601993665,1,0,0.6948510936216132
caky sweety (كيكي سويتي),cupcake shop,"Imam Saud bin Faisal, الرياض, المملكة العربية السعودية",24.797982,46.641415,Moderate,0.0,0,1,,0.21868918323182687,0,0,0.2360654758996735
بلندم,burger joint,المملكة العربية السعودية,24.790852,46.640152,Cheap,1.0,4,1,,0.0,1,0,0.5449488073458703
لامي,café,"الرياض 13321, المملكة العربية السعودية",24.800447,46.645863,Cheap,1.0,11,2,,0.0,1,0,0.5449488073458703
Wings,bbq joint,"Granville Street, Vancouver, المملكة العربية السعودية",24.7936954498291,46.6451416015625,Moderate,1.0,2,2,,0.0,0,0,0.16572613385048973
Taiba Bardisi Pastries (حلويات طيبة برديسي إخوان),pastry shop,"King Abdulaziz Road, الرياض 13315, المملكة العربية السعودية",24.79808343825543,46.65400411766902,Unknown,736.0,449,192,9.3,0.23425671427358505,0,1,0.4869456885126199
Cafune (كافونيه),restaurant  café,"King Abdulaziz Rd., الرياض, المملكة العربية السعودية",24.798633532684693,46.65423880534298,Moderate,1401.0,3749,667,6.7,0.0,0,0,0.16572613385048973
صباحاً 6AM,breakfast spot,"الرياض 13321, المملكة العربية السعودية",24.802260879779958,46.64972737052848,Cheap,387.0,948,195,8.1,0.0,1,1,0.7809091203153626
Nino (نينو),italian restaurant,"King abdulaziz Rd (Exit 5), الرياض, المملكة العربية السعودية",24.79805605305524,46.65446679578403,Moderate,2773.0,1749,677,8.3,0.0,0,1,0.3715589095019695
Bostani (بستاني),dessert shop,المملكة العربية السعودية,24.79809269385911,46.65368971003544,Cheap,47.0,29,4,8.1,0.31805456601993665,1,1,0.8714216955993914
Emperor Shawarma,shawarma place,"الرياض 13321, المملكة العربية السعودية",24.801933,46.649229,Unknown,5.0,16,2,6.1,0.0,0,0,0.16572613385048973
امبراطور الشاورما,shawarma place,"الرياض 13321, المملكة العربية السعودية",24.801617,46.648618,Unknown,4.0,5,1,6.0,0.0,0,0,0.16572613385048973
Alchemy Coffee Roasters (الكَمِي للقهوة المختصة),coffee shop,"7018 Al Imam Saud Ibn Faysal Rd (King Abdulaziz Rd), الرياض 13321, المملكة العربية السعودية",24.802267741481117,46.65060635864784,Cheap,2269.0,14297,344,9.0,1.0,1,1,0.9641336273406055
Montreux (مونترو),dessert shop  coffee shop,"King Abdulaziz Road, الرياض 13316, المملكة العربية السعودية",24.797989100359484,46.65453188350912,Cheap,398.0,339,57,9.0,0.7688469302029037,1,1,0.9439799237986543
Waynes Coffee,coffee shop  café,"Kingdom Hospital Waynes Coffee, الرياض 13316, المملكة العربية السعودية",24.801500419784063,46.65416688704703,Cheap,98.0,84,12,8.0,0.7793832838301591,1,1,0.945095103352048
Morrocan Mood (مزاج مغربي),tea room  café,"King Abdulaziz Rd., الرياض 13316, المملكة العربية السعودية",24.798587,46.654356,Moderate,8.0,35,0,6.7,0.0,0,0,0.16572613385048973
